words,title,release_date,Expired_Date,Clinical_Trials,url
[],"Notice of Special Interest on ""development and dissemination of behavioral treatments for alcohol use disorder""",2/11/2019,1/8/2022,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-19-010.html
[],Notice of Special Interest - Administrative Supplements for Regulatory Support for SBIR/STTR Awardees,10/24/2019,1/8/2022,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-19-029.html
[],Notice of Special Interest on Neurobehavioral Mechanisms of Social Isolation and Alcohol Use Disorder (AUD),11/12/2019,2/8/2022,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-19-031.html
[],Notice of Special Interest:  Epidemiology and Prevention in Alcohol Research,7/13/2020,9/8/2023,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-20-017.html
[],Notice of Special Interest: Secondary Analyses of Existing Alcohol Research Data,8/10/2020,9/5/2023,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-20-018.html
[],Notice of Special Interest: Alcohol and Aging,8/19/2020,9/8/2023,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-20-019.html
[],"Notice of Special Interest: Advances in Research for the Treatment, Services, and Recovery of Alcohol Use Disorder",11/27/2020,9/8/2023,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-20-022.html
[],Notice of Special Interest: Alcohol-induced Tissue-specific and Organ System Diseases (R01/R21/R03),1/4/2021,5/8/2024,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AA-20-024.html
[],Notice of Special Interest: High-Priority Research Topics for PAR-19-071,3/5/2019,11/13/2021,,https://grants.nih.gov/grants/guide/rfa-files/NOT-AG-19-007.html
[],Notice of Special Interest: High-Priority Research Topic for PAR-19-070,4/2/2019,11/13/2021,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AG-19-012.html
[],Notice of Special Interest: Selective Cell and Network Vulnerability in Aging and Alzheimers Disease,8/12/2019,11/13/2021,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AG-19-033.html
[],Notice of Special Interest: High-Priority Research Topics for PA-19-053 and PA-19-056,9/4/2019,1/8/2022,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/NOT-AG-19-037.html
[],Notice of Special Interest: Digital Technology for Early Detection of Alzheimers Disease and Related Dementias,3/11/2020,11/13/2021,Optional,https://grants.nih.gov/grants/guide/rfa-files/NOT-AG-20-017.html
